customer_id,gender
10928546,1
69348468,1
61009479,0
74045822,0
27979606,1
44160317,1
36008593,0
48111232,1
82609845,0
60046355,1
96751727,0
83715039,0
67193294,0
92766561,1
5689927,0
17038281,0
34174139,0
402290,0
24553371,0
20505443,0
93914512,0
26159801,0
94069501,0
34247605,0
37141133,0
63929380,0
8619476,0
77171868,0
87373794,1
57486854,0
81513101,0
16422350,0
20421046,1
62533123,0
1094663,1
97098016,1
9708480,1
79321784,0
57746497,1
55477562,1
83629946,0
8612909,1
67382369,0
83851361,1
10493682,0
79496375,1
27868636,1
40722638,0
50647057,0
19087930,1
53393963,1
58629398,0
48180760,1
11542491,0
4024330,0
70227980,0
44642438,1
2658384,0
98222191,0
99024172,1
75328477,1
16240272,1
44353987,0
96367039,0
38949486,1
79155704,0
60034294,0
74751262,0
18889791,0
39435977,0
17793655,0
36622596,0
99563406,1
5202939,1
49637214,0
24567813,1
41289285,1
97676287,1
21205194,1
50706604,0
18694042,0
15701539,1
52976855,0
73933347,0
16404236,0
80524003,1
83571433,0
44223937,0
12660882,0
70768141,0
75225096,0
36056980,0
60042933,0
66368134,1
72045112,0
30605495,1
87502549,1
24467923,0
39975016,0
20352442,0
75282650,0
2548573,1
53556576,0
21044517,0
83391046,0
39848739,0
65411135,0
5306200,1
73021118,0
75888217,0
75610771,0
31505410,0
418693,0
39186764,0
33394172,0
51639842,0
73355686,0
69065209,1
33008397,1
615526,1
52787907,0
6794075,0
57643619,1
50167807,1
46449412,0
99911226,0
29766846,0
68018851,0
2889863,0
68334543,1
71188696,0
95891468,1
67087806,0
45728264,1
28209124,0
14100143,1
68449618,1
87110807,0
47862820,0
23910067,0
281727,1
33605846,1
93031933,0
68050945,0
95696045,1
47314303,0
69279297,0
82890368,0
12652859,0
70490446,0
78603934,1
48730144,1
48447048,0
77326951,0
82226539,0
3938989,0
74504524,1
16751713,0
13893103,1
93523674,0
21650358,0
52114084,1
68003889,0
5021691,1
15955193,0
24497218,1
12739123,0
37586404,0
12987697,0
71547641,1
32327379,0
92148250,0
99673663,0
